"","cct","promedioEsp","promedioMat","promedioGeneral"
"1","01DBP0001U1",650.43,588.04,619.235
"2","01DBP0001U2",608.42,450.19,529.305
"3","01DBP0002T1",589.21,513.22,551.215
"4","01DBP0002T2",518.65,489.01,503.83
"5","01DCT0001F1",615.63,585.08,600.355
"6","01DCT0001F2",559.27,560.25,559.76
"7","01DCT0002E1",516.69,446.18,481.435
"8","01DCT0002E2",525.08,419.16,472.12
"9","01DCT0003D1",502.02,497.58,499.8
"10","01DCT0003D2",502.61,430.37,466.49
"11","01DCT0004C1",533.8,459.7,496.75
"12","01DCT0004C2",483.88,395.38,439.63
"13","01DCT0199F1",594.12,544.25,569.185
"14","01DCT0199F2",527.94,504.43,516.185
"15","01DPT0002I1",591.94,502.21,547.075
"16","01DPT0002I2",550.36,446.95,498.655
"17","01DPT0003H2",525.32,406.86,466.09
"18","01DPT0004G2",506.24,458.7,482.47
"19","01DPT0005F1",548.82,466.82,507.82
"20","01DPT000IJ1",551.76,531.24,541.5
"21","01DPT000IJ2",514.17,439.31,476.74
"22","01DTA0030C1",454.36,429.58,441.97
"23","01DTA0040J1",515.75,439.12,477.435
"24","01DTA0061W1",584.9,510.37,547.635
"25","01DTA0103E1",538.03,441.39,489.71
"26","01DTA0204C1",542.59,479.92,511.255
"27","01DTA0205B1",448.89,361.12,405.005
"28","01EBH0001K1",575.2,523.56,549.38
"29","01EMS0001W2",448.29,329.75,389.02
"30","01EMS0002V1",441.78,400.12,420.95
"31","01EMS0003U2",498.86,360.14,429.5
"32","01EMS0004T1",489,377.93,433.465
"33","01EMS0005S1",435.05,358.9,396.975
"34","01EMS0006R2",544.62,372.33,458.475
"35","01EMS0007Q2",573.42,541.56,557.49
"36","01EMS0008P1",636.43,388.02,512.225
"37","01ETC0001E1",542.25,504.59,523.42
"38","01ETC0002D2",522.43,461.13,491.78
"39","01ETC0003C1",533.47,509.96,521.715
"40","01ETC0003C2",521.26,460.26,490.76
"41","01ETC0004B1",571.73,538.71,555.22
"42","01ETC0004B2",516.4,422.4,469.4
"43","01ETC0006Z2",526.73,389.18,457.955
"44","01ETC0007Z1",491.14,386.06,438.6
"45","01ETC0007Z2",488.87,418.73,453.8
"46","01ETC0008Y1",458.63,448.14,453.385
"47","01ETC0009X1",472.01,452.99,462.5
"48","01ETC0010M1",504.41,422.39,463.4
"49","01ETC0011L2",435.46,378.33,406.895
"50","01ETC0012K1",492.75,439.67,466.21
"51","01ETH0001Z1",513.9,411.93,462.915
"52","01ETH0002Z1",486.85,300.1,393.475
"53","01ETH0004X1",526.03,415.03,470.53
"54","01ETH0005W2",511.2,386.8,449
"55","01ETH0006V2",526,481.69,503.845
"56","01ETH0010H1",457.91,390.39,424.15
"57","01ETH0012F2",538.58,364.19,451.385
"58","01ETH0015C1",430.43,351.59,391.01
"59","01ETH0016B1",500.08,344.58,422.33
"60","01ETH0021N2",426.24,292.83,359.535
"61","01ETH0022M2",414.65,310.26,362.455
"62","01ETH0023L2",419.6,352.91,386.255
"63","01ETH0025J1",400.12,366.88,383.5
"64","01ETH0026I1",526.75,453.52,490.135
"65","01ETH0027H2",487.33,292.42,389.875
"66","01ETH0029F2",555.58,377.92,466.75
"67","01ETH0030V1",456.5,395.08,425.79
"68","01ETH0031U1",507.41,443.61,475.51
"69","01ETH0032T1",493.6,413.6,453.6
"70","01ETH0035Q2",491,345.55,418.275
"71","01ETH0036P2",366.83,300.12,333.475
"72","01ETH0037O2",384.24,263.57,323.905
"73","01ETH0038N2",314.29,238.14,276.215
"74","01PBH0003O1",472.82,345.59,409.205
"75","01PBH0005M1",548.53,438.39,493.46
"76","01PBH0009I1",430.55,321.36,375.955
"77","01PBH0012W1",607.13,522.97,565.05
"78","01PBH0014U1",489.08,378,433.54
"79","01PBH0016S1",466.78,348.33,407.555
"80","01PBH0017R1",541.4,429.5,485.45
