"","cct","Promedio2011","Promedio2010","Promedio2009"
"1","01DES0001O",487.828344784916,485.749436931381,502.602015494671
"2","01DES0002N",504.34049992006,498.89784672256,510.813650953217
"3","01DES0003M",473.067272185346,468.793318956032,494.048443762808
"4","01DES0004L",488.836620913329,487.995824876503,510.789950226551
"5","01DES0005K",482.33868758288,470.422413031214,489.044064188187
"6","01DES0006J",457.653899296995,470.019312828123,466.31900642203
"7","01DES0007I",463.187974544555,460.125432249228,494.808018344189
"8","01DES0008H",502.366579253885,502.572612696623,514.469330071019
"9","01DES0009G",601.414335095801,613.730162477282,614.656075198042
"10","01DES0010W",473.644226663865,473.238471424391,481.191251778062
"11","01DES0011V",485.495988245284,496.358207901689,502.423144943727
"12","01DES0012U",512.443708228611,475.235268904205,486.696073332401
"13","01DES0013T",454.367189371484,467.130634380505,489.141994376701
"14","01DES0014S",440.099902016373,436.013869762533,465.576089700929
"15","01DES0015R",470.241719268649,465.211308871174,493.30068528467
"16","01DES0016Q",462.527322315061,460.121619371913,481.467069444568
"17","01DES0017P",469.940894618179,464.395322068203,486.011777463658
"18","01DES0018O",496.80944407985,502.597934323134,532.726915974817
"19","01DES0019N",525.788687781307,526.468667944722,554.404501761174
"20","01DES0020C",520.893960704134,511.736660323232,522.192259743478
"21","01DES0021B",486.265061445861,491.091595200679,513.775321557233
"22","01DES0022A",498.341583268354,506.216148326452,506.071189714961
"23","01DES0023Z",452.801952672491,445.315087878526,480.17353626527
"24","01DES0024Z",524.096021109061,524.709656896015,527.153703536914
"25","01DES0025Y",517.052002559845,489.917166530412,513.772326669638
"26","01DES0026X",476.865336015547,480.7129825428,511.148176817837
"27","01DES0027W",471.103854950826,468.544782573433,475.903072361564
"28","01DES0028V",473.416520955212,476.433469449762,494.697057117582
"29","01DES0029U",504.47817551498,514.111855089134,536.551662946819
"30","01DES0030J",495.834451416305,497.30391531186,515.927253494208
"31","01DES0031I",493.391713892267,481.076061737211,506.184910991663
"32","01DES0032H",463.007059895581,446.698616064842,484.244298564654
"33","01DES0033G",540.104343456226,536.22008641766,533.917748912967
"34","01DES0034F",450.667895858851,461.680804239441,313.929763446751
"35","01DES0035E",478.896919741271,468.231724620021,330.102686814242
"36","01DES0036D",577.426375505288,375.451417611388,200.073716588481
"37","01DES0037C",452.76840969431,421.371722737455,303.748319072108
"38","01DES0038B",524.881138173614,340.510080531024,172.997552168997
"39","01DST0001G",615.205012521678,620.726676199281,626.843692642573
"40","01DST0002F",466.292484396529,468.173162019644,501.069292698613
"41","01DST0003E",487.552181411407,490.010911888598,497.91772973437
"42","01DST0004D",478.304967519547,390.591796257176,471.153383985225
"43","01DST0005C",553.611692543117,551.145469261335,571.900074355193
"44","01DST0006B",498.395182316379,452.754565403967,496.621288608952
"45","01DST0007A",496.048036910763,471.163554660453,478.604564595454
"46","01DST0008Z",487.613078052434,484.598074710557,513.487527185392
"47","01DST0009Z",485.192879958752,488.289618861576,523.407158035065
"48","01DST0010O",452.062219160695,468.195156373195,495.132409905245
"49","01DST0011N",477.070205218055,489.922131830456,486.796994511462
"50","01DST0012M",493.016357073302,501.182621102103,499.633733766577
"51","01DST0013L",445.796004442518,459.186381033145,484.870255843771
"52","01DST0014K",443.043817082523,458.715504870517,493.26478872744
"53","01DST0015J",497.937621887998,483.193232751201,492.238061075112
"54","01DST0016I",436.568131865364,444.463549846043,453.911335186587
"55","01DST0017H",505.781586728354,506.680323139576,483.158202428465
"56","01DST0018G",483.771469005696,491.755227901651,481.326795912287
"57","01DST0019F",446.189842925802,430.240344250798,448.585991544722
"58","01DST0020V",483.069022052831,484.365728941209,498.640753732227
"59","01DST0021U",449.618093414839,442.61565386917,471.36281139345
"60","01DST0022T",506.619320449138,509.033402873644,520.746189710021
"61","01DST0023S",468.889739573666,450.91741425446,465.282206302726
"62","01DST0024R",511.991338121654,523.770725796503,548.169054989713
"63","01DST0028N",451.891480441581,454.619797923631,468.188913028398
"64","01DST0029M",562.698481730802,568.16735578085,584.210301907636
"65","01DST0030B",485.942118822614,474.083547946936,481.506684294385
"66","01DST0031A",453.344606308003,446.957754067353,475.89556026193
"67","01DST0032Z",489.802300607967,496.976341601826,496.415997625796
"68","01DST0033Z",450.298143122041,445.040080140129,430.451406887901
"69","01DST0034Y",511.028024896945,474.831965530385,517.803003536197
"70","01DST0035X",536.602990045096,538.488232202179,559.973771338504
"71","01DST0036W",491.118486886364,479.43679914839,491.759499943292
"72","01DST0037V",470.404899306556,498.096938279863,530.491538600094
"73","01DST0038U",452.390872230208,429.687928268666,441.342875027929
"74","01DST0039T",454.767746864863,454.577651108343,317.318972588467
"75","01DTV0001U",494.999944729275,478.481751053422,502.577739054362
"76","01DTV0002T",509.962077305084,487.44421183086,510.096046353343
"77","01DTV0004R",477.549072847842,501.544511369076,503.864196159551
"78","01DTV0005Q",434.950695089178,426.993742466434,485.124335159601
"79","01DTV0006P",514.888001190049,548.457301516493,582.289167400322
"80","01DTV0009M",444.788963561127,457.283879411458,506.298241166129
"81","01DTV0010B",476.292885171799,468.4906277046,476.90325781167
"82","01DTV0011A",472.209175745646,469.229027681735,441.059385935466
"83","01DTV0012Z",484.643772914817,451.940809930686,456.673430251525
"84","01DTV0013Z",539.59071626525,473.06861863878,516.621363366654
"85","01DTV0014Y",486.462369190563,513.845757898108,490.090682095321
"86","01DTV0015X",498.089078549986,466.361530254414,494.394088179977
"87","01DTV0016W",502.853928177445,462.973556094699,481.553388202001
"88","01DTV0018U",480.718632426181,483.523068955421,501.683303844428
"89","01DTV0019T",473.189105896282,478.930980165876,495.371510113106
"90","01DTV0020I",493.694956545038,501.580578079152,503.525292917758
"91","01DTV0021H",437.842181006717,446.645242955367,497.109488844926
"92","01DTV0022G",434.447365054597,453.531676196547,488.060421614458
"93","01DTV0023F",445.421394839674,427.575142528393,450.67249833189
"94","01DTV0025D",489.026486573396,515.612589376944,519.029503716363
"95","01DTV0026C",478.387429443716,431.659805297852,452.689518610636
"96","01DTV0029Z",538.970055818849,526.457189181261,531.955693944295
"97","01DTV0030P",489.49869270617,492.002724747431,477.740863678947
"98","01DTV0032N",471.621566249397,472.267944961863,473.489699905427
"99","01DTV0033M",432.091444200435,466.46543374,479.871109467421
"100","01DTV0034L",459.622391841661,442.842963771994,478.551419969787
"101","01DTV0035K",579.412886677091,526.327827816918,460.261205715603
