"","cct","Promedio2011","Promedio2010","Promedio2009"
"1","01DES0001O",489.57920879004,495.471009886503,496.054487326174
"2","01DES0002N",503.330434082818,509.99865187944,491.858265669191
"3","01DES0003M",510.90734920637,515.999974819846,508.772205971239
"4","01DES0004L",539.805050106592,548.524617360651,542.987997571555
"5","01DES0005K",497.742639325937,497.554502780264,490.167849607308
"6","01DES0006J",500.889295006515,502.517193848922,481.941686592653
"7","01DES0007I",525.732834432681,507.378603388689,485.198389057837
"8","01DES0008H",535.286621591231,533.96295239138,526.959607970909
"9","01DES0009G",654.17553180557,647.655045332635,634.510812377125
"10","01DES0010W",477.678141789692,494.419223649481,470.850064992268
"11","01DES0011V",507.430716187232,526.369875974317,507.308704751119
"12","01DES0012U",536.240480402084,509.521393693731,506.997761689499
"13","01DES0013T",514.907718605913,526.629316782788,511.629750091497
"14","01DES0014S",473.512870958705,474.439941066717,477.140316406112
"15","01DES0015R",487.930251922875,477.410890906107,484.777500535581
"16","01DES0016Q",475.055524261708,483.958987573118,472.588940522985
"17","01DES0017P",483.047081155114,497.943748019776,487.078146793157
"18","01DES0018O",517.487387557147,529.902993438556,531.576667986028
"19","01DES0019N",553.169894555381,554.066658995013,557.651888588427
"20","01DES0020C",546.676824725116,522.235585660309,490.548452948264
"21","01DES0021B",510.894862371845,521.075281094738,518.67359909372
"22","01DES0022A",599.970380244049,592.912263963001,539.887906847871
"23","01DES0023Z",479.949437995709,471.081909540595,480.363291965265
"24","01DES0024Z",559.014146951458,556.643779555673,535.376882938718
"25","01DES0025Y",523.677018731257,514.421839568225,502.90358942656
"26","01DES0026X",523.107628241196,504.704544406882,523.834024838766
"27","01DES0027W",486.76094241836,493.32198542518,480.209864200125
"28","01DES0028V",488.675853435666,517.669180790423,504.6043489831
"29","01DES0029U",531.436300628293,544.547917741987,550.383172492545
"30","01DES0030J",497.69298174468,514.943716184866,508.272166369525
"31","01DES0031I",497.812779975595,499.982285938268,504.513437295217
"32","01DES0032H",489.761354700348,479.818010397187,490.337284157321
"33","01DES0033G",605.337067824144,589.923730993784,579.892555225309
"34","01DES0034F",484.205033799218,483.250916941366,314.351331453306
"35","01DES0035E",497.917374773411,494.183591648738,331.205935126358
"36","01DES0036D",583.213778376055,383.562737836316,199.563872245242
"37","01DES0037C",509.901179296885,469.774719054059,307.776049870317
"38","01DES0038B",567.244759001819,367.848804338176,186.628240752638
"39","01DST0001G",646.594016816224,639.641171251299,632.860021084862
"40","01DST0002F",486.685531316712,504.131026147938,510.592181488863
"41","01DST0003E",499.376934849491,517.244070229207,497.486102431619
"42","01DST0004D",486.567994578268,426.016319979753,472.297671638896
"43","01DST0005C",588.415641810185,586.852766614059,577.364228711219
"44","01DST0006B",478.242453374652,482.070141708642,490.673274266035
"45","01DST0007A",529.463642033044,492.48932827312,492.087921393571
"46","01DST0008Z",500.147354334845,515.154442223572,506.448765299874
"47","01DST0009Z",499.791097195602,524.747980403412,522.677019087526
"48","01DST0010O",480.99609872497,494.273814253219,498.632989616329
"49","01DST0011N",498.238998645197,531.421840355173,502.55463547241
"50","01DST0012M",510.83501174345,516.632754543693,506.020412806997
"51","01DST0013L",434.778064253627,486.163087539954,487.913258753756
"52","01DST0014K",469.282121572806,482.330780418304,474.097164495932
"53","01DST0015J",495.627910783011,499.036322047193,504.35215676739
"54","01DST0016I",458.83635273339,498.945798083212,469.790865712634
"55","01DST0017H",508.927345581082,505.326865429618,470.578833570127
"56","01DST0018G",500.95125828305,523.535144066978,492.184930558155
"57","01DST0019F",465.381381008472,463.669526844238,457.478198573738
"58","01DST0020V",503.312309864979,515.305971942631,505.294669407445
"59","01DST0021U",481.005724844474,483.346169464466,495.725837330258
"60","01DST0022T",521.972717624225,525.128764549727,516.667982810031
"61","01DST0023S",500.858297057138,492.31909755607,477.070854185021
"62","01DST0024R",539.818157830704,551.353267433902,547.421658342172
"63","01DST0028N",470.429993650902,488.0156495739,479.833828990967
"64","01DST0029M",586.908241112851,585.568302429189,593.12372740535
"65","01DST0030B",498.051928097836,507.426050771232,489.487761071692
"66","01DST0031A",469.705627561131,477.762214198683,477.685350654844
"67","01DST0032Z",512.175103222979,524.608107552314,524.199195439232
"68","01DST0033Z",475.291757438661,480.3775277274,458.620905515574
"69","01DST0034Y",522.067095328525,507.337350348025,521.539902553922
"70","01DST0035X",552.494464600492,557.509642487897,547.43962808452
"71","01DST0036W",498.385013423626,495.139409778391,489.682694563666
"72","01DST0037V",496.7005096938,529.170512685536,525.542010462909
"73","01DST0038U",470.19604135731,465.918780370706,451.191408830292
"74","01DST0039T",466.073802487669,490.612720852789,319.20400581362
"75","01DTV0001U",567.279241287305,558.023890742549,529.505139951353
"76","01DTV0002T",561.074265006223,565.079347859795,531.459715494594
"77","01DTV0004R",509.140618615661,534.895605355878,505.535479815658
"78","01DTV0005Q",490.20513925888,479.360296391289,483.885901707668
"79","01DTV0006P",553.171756953984,585.326813139501,623.854240155461
"80","01DTV0009M",506.770098169299,510.957827825047,525.214886758781
"81","01DTV0010B",501.610175387065,513.999609019769,486.37966879916
"82","01DTV0011A",539.932057698568,634.437321023627,474.403322714346
"83","01DTV0012Z",525.026632503349,504.872417464959,461.228295777336
"84","01DTV0013Z",611.987821975192,543.768068288167,541.659887222458
"85","01DTV0014Y",519.0049622738,547.140726989482,497.352238084904
"86","01DTV0015X",615.272431267632,576.510357216839,575.230166541206
"87","01DTV0016W",524.537831624349,507.038517422146,501.922252352276
"88","01DTV0018U",531.908903344929,544.183435121383,522.269845206579
"89","01DTV0019T",522.447258775384,522.688712678941,524.380118179696
"90","01DTV0020I",518.980120269071,535.865225742865,505.251510304213
"91","01DTV0021H",479.698168969132,508.961659283278,529.677324738375
"92","01DTV0022G",511.405755674206,493.16756410952,497.189990263978
"93","01DTV0023F",462.985508879178,472.592152913411,460.269641628812
"94","01DTV0025D",578.079193115234,601.317602228235,592.564897607874
"95","01DTV0026C",583.901048463223,471.034512987324,473.112609736125
"96","01DTV0029Z",607.49173917293,628.537396419092,565.506035910712
"97","01DTV0030P",564.730485869855,532.497964086987,495.175628353851
"98","01DTV0032N",518.801894241229,509.337165857162,495.006239893185
"99","01DTV0033M",450.816225976007,505.808613159045,499.958369973331
"100","01DTV0034L",521.685496574183,507.226628863255,496.49134767916
"101","01DTV0035K",700.949108305431,578.819998822893,479.384812951466
"102","01DTV0036J",560.627860950288,561.768093956841,493.573626268175
"103","01DTV0038H",447.801410697809,475.752740222524,463.726643516531
"104","01DTV0039G",507.620429750473,522.065821162074,504.933657931932
"105","01DTV0040W",571.391664673346,507.774091224065,482.263039915608
"106","01DTV0041V",458.656993675648,481.927810287438,479.571383364566
"107","01DTV0042U",497.593898733033,491.882497151693,481.495799417796
"108","01DTV0043T",569.720395618153,583.281265805372,509.560482478022
"109","01DTV0045R",500.581610537106,527.120264981022,517.781256622647
"110","01DTV0046Q",450.962827581761,461.31853864779,549.589136872468
"111","01DTV0047P",597.997315746999,624.492954266261,518.938114612229
"112","01DTV0048O",517.006405870105,564.313824832697,502.727795018705
"113","01DTV0049N",488.913795902885,517.585033674111,489.531764043576
"114","01DTV0050C",548.141734568278,472.797464492746,476.656333435264
"115","01DTV0051B",493.578755023663,526.430788908831,528.371725519354
"116","01DTV0052A",564.803465682741,563.81119737171,547.117392222087
"117","01DTV0053Z",617.6590464715,503.451114061144,508.350177341037
"118","01DTV0054Z",561.148251245892,549.229343187721,516.679431471482
"119","01DTV0056X",445.508614327008,485.435555745685,486.975675465214
"120","01DTV0057W",518.621269327288,513.015902031793,472.856084480975
"121","01DTV0060J",513.901289817965,511.226456575344,513.835716045723
"122","01DTV0061I",509.323042038226,507.176226552328,517.589932027334
"123","01DTV0062H",538.864738265328,536.539274427626,535.46441679455
"124","01DTV0065E",595.771758910374,567.535009294722,554.687811474281
"125","01DTV0066D",520.794424897217,520.573055625666,507.489399592082
"126","01DTV0067C",481.655087910892,483.777323456321,481.606531660062
"127","01DTV0068B",555.606635765981,512.834980185017,476.988522075135
"128","01DTV0069A",526.099189088154,512.597598423102,512.220634403509
"129","01DTV0070Q",512.082609545093,486.10811064631,497.981678677783
"130","01DTV0071P",551.473846728985,649.819117127803,633.972473780314
"131","01DTV0072O",581.431650161743,550.159713564421,523.536240245678
"132","01DTV0073N",482.183442337601,498.742829283434,495.933505796182
"133","01DTV0074M",500.204962682065,511.71654933161,509.195907709699
"134","01DTV0075L",526.8224636101,523.096816848622,488.520427736462
"135","01DTV0076K",583.056932390861,509.240522932148,494.261322963385
"136","01DTV0077J",622.446520574732,601.204468197293,583.158050398393
"137","01DTV0078I",556.741051737468,513.174929235735,531.084860574632
"138","01DTV0079H",430.494784837558,463.732960292271,448.961572350396
"139","01DTV0080X",487.574249133435,512.318028659747,493.330851397714
"140","01DTV0081W",434.140340234479,454.297928941826,455.868155417504
"141","01DTV0082V",440.158118257068,457.548360096325,504.453122379804
"142","01DTV0083U",475.63676997149,499.08590123364,478.713304715055
"143","01DTV0084T",481.798252166264,485.147732608533,475.459670842042
"144","01DTV0085S",471.112675811834,514.732021150135,482.260235996439
"145","01DTV0086R",516.892288102319,563.419385304171,470.555670647872
"146","01DTV0087Q",489.943683369954,498.573341181249,476.848422083205
"147","01DTV0088P",530.444729331688,546.10143137735,485.302384857439
"148","01DTV0089O",548.287039862739,565.741523121021,489.138204193115
"149","01DTV0090D",471.321893746512,495.610009087457,533.77938784431
"150","01DTV0091C",543.668319327835,534.690939331055,531.588542784103
