"","cct","Esp","Mat","NEsp","NMat","PromedioGeneral"
"1","01DES0021B",486.265061445861,510.894862371845,1214,1214,498.579961908853
"2","01DES0022A",498.341583268354,599.970380244049,734,734,549.155981756202
"3","01DES0033G",540.104343456226,605.337067824144,106,106,572.720705640185
"4","01DES0038B",524.881138173614,567.244759001819,75,75,546.062948587717
"5","01DST0035X",536.602990045096,552.494464600492,1403,1403,544.548727322794
"6","01PST0005H",468.544908216969,508.080179614871,82,82,488.31254391592
"7","01DES0011V",485.495988245284,507.430716187232,994,994,496.463352216258
"8","01DES0017P",469.940894618179,483.047081155114,679,679,476.493987886646
"9","01DST0005C",553.611692543117,588.415641810185,1375,1375,571.013667176651
"10","01PES0006O",536.747845958373,559.148494232816,129,129,547.948170095594
"11","01PES0012Z",625.827610193118,678.843239370019,86,86,652.335424781568
"12","01PES0044R",418.407373139353,422.976727623731,31,31,420.692050381542
"13","01PES0046P",531.206937432143,515.306754117914,228,228,523.256845775029
"14","01DES0007I",463.187974544555,525.732834432681,442,442,494.460404488618
"15","01DES0028V",473.416520955212,488.675853435666,228,228,481.046187195439
"16","01DST0002F",466.292484396529,486.685531316712,457,457,476.489007856621
"17","01DST0013L",445.796004442518,434.778064253627,110,110,440.287034348072
"18","01DST0031A",453.344606308003,469.705627561131,536,536,461.525116934567
"19","01DST0034Y",511.028024896945,522.067095328525,723,723,516.547560112735
"20","01PES0002S",561.63697138849,595.622624288431,429,429,578.62979783846
"21","01PES0010A",581.602747188196,613.392234776858,208,208,597.497490982527
"22","01PES0030O",531.528287263758,539.24231538062,79,79,535.385301322189
"23","01PES0067B",596.033034104567,609.411907332983,23,23,602.722470718775
"24","01DTV0001U",494.999944729275,567.279241287305,62,62,531.13959300829
"25","01DTV0006P",514.888001190049,553.171756953984,45,45,534.029879072016
"26","01DTV0032N",471.621566249397,518.801894241229,130,130,495.211730245313
"27","01DTV0034L",459.622391841661,521.685496574183,202,202,490.653944207922
"28","01DTV0062H",478.794331529405,538.864738265328,48,48,508.829534897366
"29","01DTV0067C",451.509711203151,481.655087910892,160,160,466.582399557022
"30","01DTV0104Q",451.990490948712,422.257068775318,15,15,437.123779862015
"31","01DTV0105P",426.255701685433,475.853551136364,33,33,451.054626410898
"32","01DES0001O",487.828344784916,489.57920879004,1071,1071,488.703776787478
"33","01DES0009G",601.414335095801,654.17553180557,1495,1495,627.794933450685
"34","01DST0020V",483.069022052831,503.312309864979,715,715,493.190665958905
"35","01PES0040V",546.390256604832,583.362861657521,72,72,564.876559131176
"36","01PES0050B",613.96501509321,669.125854615491,152,152,641.545434854351
"37","01PES0052Z",441.37189519973,449.022128513881,18,18,445.197011856805
"38","01PES0054Y",530.58571808052,532.527296515483,71,71,531.556507298002
"39","01PST0004I",525.934815300835,575.309206644694,24,24,550.622010972764
"40","01DES0008H",502.366579253885,535.286621591231,1264,1264,518.826600422558
"41","01DES0024Z",524.096021109061,559.014146951458,822,822,541.555084030259
"42","01DES0027W",471.103854950826,486.76094241836,682,682,478.932398684593
"43","01DST0001G",615.205012521678,646.594016816224,1460,1460,630.899514668951
"44","01PES0031N",572.721094335684,584.94785942917,202,202,578.834476882427
"45","01PES0034K",532.897226186899,526.568913599828,34,34,529.733069893364
"46","01PES0053Z",556.733880467626,607.323458006888,32,32,582.028669237257
"47","01PES0059T",587.169555791219,590.513394419352,82,82,588.841475105286
"48","01DTV0019T",473.189105896282,522.447258775384,186,186,497.818182335833
"49","01DTV0033M",432.091444200435,450.816225976007,139,139,441.453835088221
"50","01DTV0045R",459.398289099285,500.581610537106,302,302,479.989949818195
"51","01DTV0103R",473.372667000964,552.10044993814,47,47,512.736558469552
"52","01DTV0184S",477.045706876945,496.076023294468,43,43,486.560865085706
"53","01DTV0185R",456.775147604564,489.020036243257,90,90,472.89759192391
"54","01DES0010W",473.644226663865,477.678141789692,939,939,475.661184226779
"55","01DES0019N",525.788687781307,553.169894555381,1006,1006,539.479291168344
"56","01DES0025Y",517.052002559845,523.677018731257,724,724,520.364510645551
"57","01PES0008M",601.863017361337,675.19368410164,76,76,638.528350731488
"58","01PES0009L",615.608627514482,596.767127976191,109,109,606.187877745336
"59","01PES0033L",554.320927948032,560.703394503896,69,69,557.512161225964
"60","01PES0051A",640.761589598006,706.473487981787,89,89,673.617538789897
"61","01DES0002N",504.34049992006,503.330434082818,328,328,503.835467001439
