"","cct","cal_esp1","N1","cal_esp2","N2","cal_esp3","N3","PromedioSecundaria","NTotal"
"685","01DES0021B",484.575751914634,444,478.726380847749,399,495.493051575201,371,486.265061445861,1214
"686","01DES0022A",461.518447052888,241,472.548164972269,265,560.958137779905,228,498.341583268354,734
"687","01DES0033G",497.108492170061,28,546.447608360877,39,576.75692983774,39,540.104343456226,106
"688","01DES0038B",535.924620451751,27,495.509266246449,22,543.209527822641,26,524.881138173614,75
"689","01DST0035X",554.859566929445,479,514.922396806266,482,540.027006399578,442,536.602990045096,1403
"690","01PST0005H",425.877752896013,29,472.526825848748,34,507.230145906147,19,468.544908216969,82
"691","01DES0011V",482.646095440204,325,481.479811523099,361,492.36205777255,308,485.495988245284,994
"692","01DES0017P",484.277310956988,228,438.794722475078,221,486.750650422469,230,469.940894618179,679
"693","01DST0005C",547.469835599264,480,526.394755600842,458,586.970486429245,437,553.611692543117,1375
"694","01PES0006O",556.82711047661,41,544.284246677306,41,509.132180721202,47,536.747845958373,129
"695","01PES0012Z",630.002140808105,20,618.816077030066,33,628.664612741181,33,625.827610193118,86
"696","01PES0044R",374.283142089844,9,418.223381736062,11,462.715595592152,11,418.407373139353,31
"697","01PES0046P",517.351859042519,76,536.58202725365,84,539.686926000258,68,531.206937432143,228
"698","01DES0007I",446.491492687816,142,459.001911604486,147,484.070519341363,153,463.187974544555,442
"699","01DES0028V",453.734821412621,82,481.857600620815,70,484.657140832198,76,473.416520955212,228
"700","01DST0002F",467.596746467142,170,452.936493608288,133,478.344213114156,154,466.292484396529,457
"701","01DST0013L",432.183873639788,35,433.418373911004,38,471.785765776763,37,445.796004442518,110
"702","01DST0031A",418.917105549514,198,450.592337458967,166,490.524375915527,172,453.344606308003,536
"703","01DST0034Y",473.690932824477,265,543.142784767305,247,516.250357099054,211,511.028024896945,723
"704","01PES0002S",569.6857421875,135,545.082442510696,147,570.142729467275,147,561.63697138849,429
"705","01PES0010A",572.188562320758,79,582.378190721784,56,590.241488522046,73,581.602747188196,208
"706","01PES0030O",526.870130651137,34,508.629143066406,25,559.08558807373,20,531.528287263758,79
"707","01PES0067B",573.037700946514,13,611.553100585938,5,603.50830078125,5,596.033034104567,23
"708","01DTV0001U",468.503331502279,24,516.165283203125,23,500.331219482422,15,494.999944729275,62
"709","01DTV0006P",497.481987847222,18,454.914293729342,13,592.267721993583,14,514.888001190049,45
"710","01DTV0032N",452.68015919561,46,460.605748376181,43,501.578791176401,41,471.621566249397,130
"711","01DTV0034L",459.781606038411,69,434.753304924763,71,484.332264561807,62,459.622391841661,202
"712","01DTV0062H",462.450469970703,23,481.900008138021,15,492.032516479492,10,478.794331529405,48
"713","01DTV0067C",454.559771118164,50,445.050957978661,67,454.918404512627,43,451.509711203151,160
"714","01DTV0104Q",431.942474365234,3,422.030788845486,9,501.998209635417,3,451.990490948712,15
"715","01DTV0105P",411.924176025391,10,417.572362726385,11,449.270566304525,12,426.255701685433,33
"716","01DES0001O",487.061394816081,375,480.31315237051,333,496.110487168157,363,487.828344784916,1071
"717","01DES0009G",606.683419535479,508,593.160069732969,503,604.399516018954,484,601.414335095801,1495
"718","01DST0020V",487.634461427346,234,465.977851834932,233,495.594752896217,248,483.069022052831,715
"719","01PES0040V",507.239029947917,15,545.097958651456,22,586.833781215123,35,546.390256604832,72
"720","01PES0050B",621.08446932706,55,593.128622159091,55,627.68195379348,42,613.96501509321,152
"721","01PES0052Z",515.615339006696,7,399.389613560268,7,409.110733032227,4,441.37189519973,18
"722","01PES0054Y",536.109074183873,28,464.659910314223,17,590.988169743465,26,530.58571808052,71
"723","01PST0004I",548.567804972331,6,466.933166503906,6,562.30347442627,12,525.934815300835,24
"724","01DES0008H",505.103990981954,451,497.74424938907,422,504.25149739063,391,502.366579253885,1264
"725","01DES0024Z",519.007680257161,294,523.527560252064,265,529.752822817958,263,524.096021109061,822
"726","01DES0027W",476.994218528522,237,447.997009548611,225,488.320336775346,220,471.103854950826,682
"727","01DST0001G",620.350187924677,499,600.83842336831,476,624.426426272048,485,615.205012521678,1460
"728","01PES0031N",567.619904424103,71,552.000900461704,79,598.542478121244,52,572.721094335684,202
"729","01PES0034K",493.532562255859,10,554.622830904447,13,550.536285400391,11,532.897226186899,34
"730","01PES0053Z",600.041345769709,11,534.418447641226,13,535.741847991943,8,556.733880467626,32
