"","cct","cal_mat1","N1","cal_mat2","N2","cal_mat3","N3","PromedioSecundaria","NTotal"
"685","01DES0021B",499.556124678603,444,505.464117217482,399,527.66434521945,371,510.894862371845,1214
"686","01DES0022A",519.412549663876,241,549.387797402436,265,731.110793665836,228,599.970380244049,734
"687","01DES0033G",575.322799682617,28,579.131184113331,39,661.557219676482,39,605.337067824144,106
"688","01DES0038B",507.852351435909,27,586.754702481357,22,607.127223088191,26,567.244759001819,75
"689","01DST0035X",559.180291034484,479,557.372269753104,482,540.930833013888,442,552.494464600492,1403
"690","01PST0005H",442.444582182786,29,541.359519958496,34,540.436436703331,19,508.080179614871,82
"691","01DES0011V",481.423545485276,325,495.838084804715,361,545.030518271706,308,507.430716187232,994
"692","01DES0017P",483.698773434288,228,467.678194969488,221,497.764275061566,230,483.047081155114,679
"693","01DST0005C",560.652647717794,480,575.457831037097,458,629.136446675665,437,588.415641810185,1375
"694","01PES0006O",569.041847042921,41,565.694476616092,41,542.709159039436,47,559.148494232816,129
"695","01PES0012Z",660.386856079102,20,713.589168664181,33,662.553693366773,33,678.843239370019,86
"696","01PES0044R",391.257164849175,9,404.962846235795,11,472.710171786222,11,422.976727623731,31
"697","01PES0046P",505.012736471076,76,536.177641005743,84,504.729884876924,68,515.306754117914,228
"698","01DES0007I",540.802731366225,142,505.165100928067,147,531.230671003753,153,525.732834432681,442
"699","01DES0028V",449.267962758134,82,516.840196881975,70,499.919400666889,76,488.675853435666,228
"700","01DST0002F",463.819913527545,170,488.975029049063,133,507.261651373529,154,486.685531316712,457
"701","01DST0013L",400.484078543527,35,429.746243928608,38,474.103870288746,37,434.778064253627,110
"702","01DST0031A",438.012973053287,198,483.525180311088,166,487.578729319018,172,469.705627561131,536
"703","01DST0034Y",493.359674072266,265,524.849760974467,247,547.991850938842,211,522.067095328525,723
"704","01PES0002S",580.267418755425,135,588.341705529868,147,618.258748579998,147,595.622624288431,429
"705","01PES0010A",581.613275455523,79,643.360951014927,56,615.202477860124,73,613.392234776858,208
"706","01PES0030O",526.786390416762,34,528.698848876953,25,562.241706848145,20,539.24231538062,79
"707","01PES0067B",543.698838454026,13,652.409136962891,5,632.127746582031,5,609.411907332983,23
"708","01DTV0001U",549.133944193522,24,619.07274329144,23,533.631036376953,15,567.279241287305,62
"709","01DTV0006P",525.991943359375,18,511.05946467473,13,622.463862827846,14,553.171756953984,45
"710","01DTV0032N",480.049183057702,46,522.627730968387,43,553.728768697599,41,518.801894241229,130
"711","01DTV0034L",526.513059090877,69,485.048250440141,71,553.495180191532,62,521.685496574183,202
"712","01DTV0062H",514.754245923913,23,542.751043701172,15,559.088925170898,10,538.864738265328,48
"713","01DTV0067C",470.429513549805,50,475.432552508454,67,499.103197674419,43,481.655087910892,160
"714","01DTV0104Q",357.621927897135,3,449.042741563585,9,460.106536865234,3,422.257068775318,15
"715","01DTV0105P",460.572216796875,10,438.551180752841,11,528.437255859375,12,475.853551136364,33
"716","01DES0001O",474.021519856771,375,491.824419451189,333,502.891687062161,363,489.57920879004,1071
"717","01DES0009G",651.159508952944,508,647.679855195002,503,663.687231268765,484,654.17553180557,1495
"718","01DST0020V",485.023507599138,234,508.607362804495,233,516.306059191304,248,503.312309864979,715
"719","01PES0040V",554.868141682943,15,574.719909667969,22,620.500533621652,35,583.362861657521,72
"720","01PES0050B",646.014417613636,55,667.470639315518,55,693.892506917318,42,669.125854615491,152
"721","01PES0052Z",473.233551025391,7,426.591997419085,7,447.240837097168,4,449.022128513881,18
"722","01PES0054Y",556.64890725272,28,462.542606129366,17,578.390376164363,26,532.527296515483,71
"723","01PST0004I",606.200826009115,6,549.228322347005,6,570.498471577962,12,575.309206644694,24
"724","01DES0008H",509.337435567987,451,547.825853465293,422,548.696575740414,391,535.286621591231,1264
"725","01DES0024Z",532.810542463445,294,571.46881679319,265,572.763081597738,263,559.014146951458,822
"726","01DES0027W",491.402648024418,237,484.546833089193,225,484.333346141468,220,486.76094241836,682
"727","01DST0001G",638.118705275541,499,643.362107669606,476,658.301237503524,485,646.594016816224,1460
"728","01PES0031N",553.058909241582,71,577.819908045515,79,623.964761000413,52,584.94785942917,202
"729","01PES0034K",489.159576416016,10,587.277644230769,13,503.269520152699,11,526.568913599828,34
"730","01PES0053Z",608.793826016513,11,587.334625244141,13,625.84192276001,8,607.323458006888,32
"731","01PES0059T",574.340731201172,25,603.433090820312,25,593.766361236572,32,590.513394419352,82
"732","01DTV0019T",525.425543613121,61,517.189107398464,73,524.727125314566,52,522.447258775384,186
"733","01DTV0033M",413.998691465796,41,478.910153537326,45,459.539832924897,53,450.816225976007,139
"734","01DTV0045R",475.856377674983,104,480.489816684916,99,545.39863725142,99,500.581610537106,302
"735","01DTV0103R",558.713139851888,12,604.055972629123,18,493.53223733341,17,552.10044993814,47
"736","01DTV0184S",488.729756673177,21,500.914306640625,11,498.584006569602,11,496.076023294468,43
"737","01DTV0185R",437.144380478632,42,520.115847269694,24,509.799880981445,24,489.020036243257,90
"738","01DES0010W",473.481635328484,329,480.937654991672,292,478.61513504892,318,477.678141789692,939
"739","01DES0019N",537.150226048061,364,554.437761449102,335,567.92169616898,307,553.169894555381,1006
"740","01DES0025Y",516.221566114239,255,529.732079743333,237,525.077410336198,232,523.677018731257,724
"741","01PES0008M",670.951837876264,34,643.439615350021,19,711.189599078635,23,675.19368410164,76
"742","01PES0009L",581.189845493862,49,625.894988141741,35,583.216550292969,25,596.767127976191,109
"743","01PES0033L",518.585620382558,23,596.248958881085,26,567.275604248047,20,560.703394503896,69
"744","01PES0051A",693.451590401786,35,731.212756347656,25,694.756117195919,29,706.473487981787,89
"745","01DES0002N",496.458557984539,107,492.857116419241,109,520.675627844674,112,503.330434082818,328
"746","01DES0006J",480.970019075059,194,498.292843429295,169,523.405022515191,198,500.889295006515,561
"747","01DES0032H",474.049424160228,340,483.756731199471,287,511.477908741344,264,489.761354700348,891
"748","01DES0035E",494.062698778524,442,499.351801231155,299,500.337624310554,267,497.917374773411,1008
"749","01DST0037V",480.989129093373,319,492.50209803088,290,516.610301957148,267,496.7005096938,876
"750","01PES0020H",524.258382524763,28,549.682431466239,35,558.455630418731,41,544.132148136578,104
"751","01PES0023E",637.93935139974,9,806.016682942708,3,762.770056152344,5,735.575363498264,17
"752","01PES0035J",561.569080810547,25,545.059012518989,18,613.988143920898,22,573.538745750145,65
"753","01PES0041U",624.879175070058,115,643.455591201782,80,623.259901597765,90,630.531555956535,285
"754","01PES0048N",630.448620605469,40,677.918340612341,54,701.189491102431,45,669.852150773413,139
"755","01DES0029U",529.442598109091,310,528.024643344566,305,536.841660431221,293,531.436300628293,908
