"","cct","cal_new1","N1","cal_new2","N2","cal_new3","N3","PromedioSecundaria","NTotal"
"685","01DES0021B",496.990941503026,444,0,399,0,371,165.663647167675,1214
"686","01DES0022A",461.743171533608,241,0,265,0,228,153.914390511203,734
"687","01DES0033G",550.461166381836,28,0,39,0,39,183.487055460612,106
"688","01DES0038B",528.609705041956,27,0,22,0,26,176.203235013985,75
"689","01DST0035X",551.050329411453,479,0,482,0,442,183.683443137151,1403
"690","01PST0005H",458.744789912783,29,0,34,0,19,152.914929970928,82
"691","01DES0011V",478.151041165865,325,0,361,0,308,159.383680388622,994
"692","01DES0017P",477.850120812132,228,0,221,0,230,159.283373604044,679
"693","01DST0005C",552.974345016479,480,0,458,0,437,184.32478167216,1375
"694","01PES0006O",561.625110905345,41,0,41,0,47,187.208370301782,129
"695","01PES0012Z",636.169421386719,20,0,33,0,33,212.056473795573,86
"696","01PES0044R",409.394944932726,9,0,11,0,11,136.464981644242,31
"697","01PES0046P",535.104783309133,76,0,84,0,68,178.368261103044,228
"698","01DES0007I",507.005362497249,142,0,147,0,153,169.001787499083,442
"699","01DES0028V",479.873738730826,82,0,70,0,76,159.957912910275,228
"700","01DST0002F",467.448574111041,170,0,133,0,154,155.816191370347,457
"701","01DST0013L",454.491014753069,35,0,38,0,37,151.49700491769,110
"702","01DST0031A",438.310732446536,198,0,166,0,172,146.103577482179,536
"703","01DST0034Y",504.60063568691,265,0,247,0,211,168.200211895637,723
"704","01PES0002S",564.37006338614,135,0,147,0,147,188.123354462047,429
"705","01PES0010A",562.003648588929,79,0,56,0,73,187.334549529643,208
"706","01PES0030O",512.6447206385,34,0,25,0,20,170.881573546166,79
"707","01PES0067B",592.026578463041,13,0,5,0,5,197.342192821014,23
"708","01DTV0001U",462.150020599365,24,0,23,0,15,154.050006866455,62
"709","01DTV0006P",502.072908189562,18,0,13,0,14,167.357636063187,45
"710","01DTV0032N",500.520446113918,46,0,43,0,41,166.840148704639,130
"711","01DTV0034L",490.12254797894,69,0,71,0,62,163.374182659647,202
"712","01DTV0062H",490.635642673658,23,0,15,0,10,163.545214224553,48
"713","01DTV0067C",464.211227416992,50,0,67,0,43,154.737075805664,160
"714","01DTV0104Q",458.600453694661,3,0,9,0,3,152.86681789822,15
"715","01DTV0105P",447.087719726563,10,0,11,0,12,149.029239908854,33
"716","01DES0001O",494.716167317708,375,0,333,0,363,164.905389105903,1071
"717","01DES0009G",606.95511879508,508,0,503,0,484,202.318372931693,1495
"718","01DST0020V",488.318815964919,234,0,233,0,248,162.772938654973,715
"719","01PES0040V",526.616902669271,15,0,22,0,35,175.538967556424,72
"720","01PES0050B",643.946742942116,55,0,55,0,42,214.648914314039,152
"721","01PES0052Z",497.517434256417,7,0,7,0,4,165.839144752139,18
"722","01PES0054Y",532.206438337054,28,0,17,0,26,177.402146112351,71
"723","01PST0004I",527.424270629883,6,0,6,0,12,175.808090209961,24
"724","01DES0008H",501.778537386537,451,0,422,0,391,167.259512462179,1264
"725","01DES0024Z",512.677140943047,294,0,265,0,263,170.892380314349,822
"726","01DES0027W",484.936603787579,237,0,225,0,220,161.64553459586,682
"727","01DST0001G",616.023915078693,499,0,476,0,485,205.341305026231,1460
"728","01PES0031N",563.616832464514,71,0,79,0,52,187.872277488171,202
"729","01PES0034K",553.435916137695,10,0,13,0,11,184.478638712565,34
"730","01PES0053Z",542.977566805753,11,0,13,0,8,180.992522268584,32
"731","01PES0059T",594.483302001953,25,0,25,0,32,198.161100667318,82
"732","01DTV0019T",497.031792312372,61,0,73,0,52,165.677264104124,186
"733","01DTV0033M",427.958298845989,41,0,45,0,53,142.652766281996,139
"734","01DTV0045R",454.106719970703,104,0,99,0,99,151.368906656901,302
"735","01DTV0103R",498.01611328125,12,0,18,0,17,166.00537109375,47
"736","01DTV0184S",529.382917131696,21,0,11,0,11,176.460972377232,43
"737","01DTV0185R",451.286374773298,42,0,24,0,24,150.428791591099,90
"738","01DES0010W",480.499227135377,329,0,292,0,318,160.166409045126,939
"739","01DES0019N",535.26891050234,364,0,335,0,307,178.422970167446,1006
"740","01DES0025Y",527.245604750689,255,0,237,0,232,175.748534916896,724
"741","01PES0008M",616.640788358801,34,0,19,0,23,205.546929452934,76
"742","01PES0009L",603.27908948003,49,0,35,0,25,201.093029826677,109
"743","01PES0033L",528.771701978601,23,0,26,0,20,176.257233992867,69
"744","01PES0051A",619.560357666016,35,0,25,0,29,206.520119222005,89
"745","01DES0002N",488.359811372846,107,0,109,0,112,162.786603790949,328
"746","01DES0006J",464.091005934882,194,0,169,0,198,154.697001978294,561
"747","01DES0032H",456.249148380055,340,0,287,0,264,152.083049460018,891
"748","01DES0035E",486.577049773203,442,0,299,0,267,162.192349924401,1008
"749","01DST0037V",481.525359246424,319,0,290,0,267,160.508453082141,876
"750","01PES0020H",519.90342930385,28,0,35,0,41,173.301143101283,104
"751","01PES0023E",575.375644259983,9,0,3,0,5,191.791881419994,17
"752","01PES0035J",524.721248779297,25,0,18,0,22,174.907082926432,65
"753","01PES0041U",612.510570227582,115,0,80,0,90,204.170190075861,285
"754","01PES0048N",591.413897705078,40,0,54,0,45,197.137965901693,139
"755","01DES0029U",516.205935078283,310,0,305,0,293,172.068645026094,908
"756","01DST0029M",560.76211858463,393,0,389,0,378,186.920706194877,1160
"757","01DST0036W",483.054875195184,379,0,335,0,329,161.018291731728,1043
"758","01DST0038U",465.122388863269,486,0,417,0,363,155.040796287756,1266
"759","01PES0047O",475.405151367188,2,0,0,0,2,158.468383789062,4
"760","01PES0056W",542.551951090495,57,0,43,0,36,180.850650363498,136
"761","01PES0057V",606.861213684082,12,0,27,0,15,202.287071228027,54
"762","01PES0065D",549.742667614574,71,0,50,0,42,183.247555871525,163
"763","01PST0007F",492.633433948864,33,0,28,0,31,164.211144649621,92
"764","01DES0016Q",457.506385359407,361,0,295,0,306,152.502128453136,962
"765","01DES0023Z",459.407657640397,223,0,212,0,201,153.135885880132,636
"766","01DES0026X",479.297631867893,382,0,331,0,319,159.765877289298,1032
